N[-],L1[mm],TotalFinMass[kg]
24,38.5,0.0449339649
24,39.5,0.0443843017
24,40.5,0.0438346384
24,41.5,0.0432849752
24,42.5,0.0427353119
24,43.5,0.0421856487
24,44.5,0.0416359854
24,45.5,0.0410863222
24,46.5,0.0405366589
27,33.5,0.0532254066
27,34.5,0.0525945829
27,35.5,0.0519637592
27,36.5,0.0513329356
27,37.5,0.0507021119
27,38.5,0.0500712882
27,39.5,0.0494404645
27,40.5,0.0488096408
27,41.5,0.0481788171
27,42.5,0.0475479934
27,43.5,0.0469171698
27,44.5,0.0462863461
27,45.5,0.0456555224
27,46.5,0.0450246987
30,33.5,0.058769568
30,34.5,0.0580576148
30,35.5,0.0573456616
30,36.5,0.0566337084
30,37.5,0.0559217552
30,38.5,0.055209802
30,39.5,0.0544978488
30,40.5,0.0537858956
30,41.5,0.0530739424
30,42.5,0.0523619892
30,43.5,0.051650036
30,44.5,0.0509380828
30,45.5,0.0502261296
30,46.5,0.0495141764
33,33.5,0.0643144922
33,34.5,0.0635214323
33,35.5,0.0627283724
33,36.5,0.0619353124
33,37.5,0.0611422525
33,38.5,0.0603491926
33,39.5,0.0595561326
33,40.5,0.0587630727
33,41.5,0.0579700128
33,42.5,0.0571769528
33,43.5,0.0563838929
33,44.5,0.055590833
33,45.5,0.054797773
33,46.5,0.0540047131
36,33.5,0.0698599945
36,34.5,0.0689858451
36,35.5,0.0681116956
36,36.5,0.0672375462
36,37.5,0.0663633968
36,38.5,0.0654892474
36,39.5,0.064615098
36,40.5,0.0637409485
36,41.5,0.0628667991
36,42.5,0.0619926497
36,43.5,0.0611185003
36,44.5,0.0602443509
36,45.5,0.0593702014
36,46.5,0.058496052
39,33.5,0.0754059451
39,34.5,0.0744507196
39,35.5,0.073495494
39,36.5,0.0725402685
39,37.5,0.071585043
39,38.5,0.0706298175
39,39.5,0.069674592
39,40.5,0.0687193664
39,41.5,0.0677641409
39,42.5,0.0668089154
39,43.5,0.0658536899
39,44.5,0.0648984644
39,45.5,0.0639432389
39,46.5,0.0629880133
42,33.5,0.0809522505
42,34.5,0.0799159595
42,35.5,0.0788796684
42,36.5,0.0778433774
42,37.5,0.0768070864
42,38.5,0.0757707954
42,39.5,0.0747345043
42,40.5,0.0736982133
42,41.5,0.0726619223
42,42.5,0.0716256312
42,43.5,0.0705893402
42,44.5,0.0695530492
42,45.5,0.0685167581
42,46.5,0.0674804671
45,33.5,0.0864988415
45,34.5,0.0853814935
45,35.5,0.0842641455
45,36.5,0.0831467974
45,37.5,0.0820294494
45,38.5,0.0809121014
45,39.5,0.0797947534
45,40.5,0.0786774054
45,41.5,0.0775600574
45,42.5,0.0764427094
45,43.5,0.0753253613
45,44.5,0.0742080133
45,45.5,0.0730906653
45,46.5,0.0719733173
48,33.5,0.0920456657
48,34.5,0.0908472677
48,35.5,0.0896488696
48,36.5,0.0884504716
48,37.5,0.0872520736
48,38.5,0.0860536755
48,39.5,0.0848552775
48,40.5,0.0836568794
48,41.5,0.0824584814
48,42.5,0.0812600834
48,43.5,0.0800616853
48,44.5,0.0788632873
48,45.5,0.0776648893
48,46.5,0.0764664912
51,33.5,0.0975926829
51,34.5,0.0963132406
51,35.5,0.0950337983
51,36.5,0.093754356
51,37.5,0.0924749137
51,38.5,0.0911954714
51,39.5,0.0899160291
51,40.5,0.0886365868
51,41.5,0.0873571445
51,42.5,0.0860777022
51,43.5,0.0847982599
51,44.5,0.0835188176
51,45.5,0.0822393753
51,46.5,0.080959933
54,33.5,0.103139862
54,34.5,0.10177938
54,35.5,0.100418898
54,36.5,0.0990584163
54,37.5,0.0976979346
54,38.5,0.0963374528
54,39.5,0.0949769711
54,40.5,0.0936164893
54,41.5,0.0922560076
54,42.5,0.0908955259
54,43.5,0.0895350441
54,44.5,0.0881745624
54,45.5,0.0868140806
54,46.5,0.0854535989
57,33.5,0.108687177
57,34.5,0.10724566
57,35.5,0.105804142
57,36.5,0.104362625
57,37.5,0.102921108
57,38.5,0.101479591
57,39.5,0.100038074
57,40.5,0.0985965568
57,41.5,0.0971550397
57,42.5,0.0957135226
57,43.5,0.0942720055
57,44.5,0.0928304884
57,45.5,0.0913889713
57,46.5,0.0899474542
60,33.5,0.114234608
60,34.5,0.112712059
60,35.5,0.11118951
60,36.5,0.109666961
60,37.5,0.108144412
60,38.5,0.106621863
60,39.5,0.105099314
60,40.5,0.103576765
60,41.5,0.102054216
60,42.5,0.100531667
60,43.5,0.099009118
60,44.5,0.097486569
60,45.5,0.09596402
60,46.5,0.0944414709
63,33.5,0.11978214
63,34.5,0.118178562
63,35.5,0.116574984
63,36.5,0.114971406
63,37.5,0.113367828
63,38.5,0.11176425
63,39.5,0.110160672
63,40.5,0.108557094
63,41.5,0.106953516
63,42.5,0.105349938
63,43.5,0.10374636
63,44.5,0.102142782
63,45.5,0.100539204
63,46.5,0.0989356266
66,33.5,0.125329758
66,34.5,0.123645153
66,35.5,0.121960549
66,36.5,0.120275945
66,37.5,0.118591341
66,38.5,0.116906736
66,39.5,0.115222132
66,40.5,0.113537528
66,41.5,0.111852924
66,42.5,0.110168319
66,43.5,0.108483715
66,44.5,0.106799111
66,45.5,0.105114507
66,46.5,0.103429902
69,33.5,0.130877451
69,34.5,0.129111823
69,35.5,0.127346195
69,36.5,0.125580566
69,37.5,0.123814938
69,38.5,0.12204931
69,39.5,0.120283681
69,40.5,0.118518053
69,41.5,0.116752425
69,42.5,0.114986796
69,43.5,0.113221168
69,44.5,0.11145554
69,45.5,0.109689911
69,46.5,0.107924283
72,33.5,0.136425211
72,34.5,0.134578561
72,35.5,0.13273191
72,36.5,0.13088526
72,37.5,0.129038609
72,38.5,0.127191959
72,39.5,0.125345308
72,40.5,0.123498658
72,41.5,0.121652008
72,42.5,0.119805357
72,43.5,0.117958707
72,44.5,0.116112056
72,45.5,0.114265406
72,46.5,0.112418756
